bathrooms,bedrooms,beds,city,currency,id,is_business_travel_ready,is_fully_refundable,is_host_highly_rated,is_new_listing,is_rebookable,is_superhost,latitude,longitude,name,person_capacity,picture_count,price,price_with_service_fee,property_type_id,rate_type,reviews_count,room_and_property_type,room_type,room_type_category,space_type,tier_id,user_id
1,3,6,Oostvoorne,EUR,23124073,false,true,false,false,false,false,51.92337994355868,4.122221064511122,"Zomerhuisje op vakantiepark aan meer, vlakbij zee",6,23,59,59,4,nightly,4,Gehele huisje,Gehele woning/appartement,entire_home,Gehele huisje,0,35657560
1.5,1,1,Voorburg,EUR,16842443,false,true,false,false,false,false,52.073254,4.349999,"Bedroom with private bath,WC,balcony,free parking",2,13,55,55,2,nightly,39,Privékamer in woning,Privékamer,private_room,Privékamer,0,19558927
1,2,2,Oostvoorne,EUR,5899109,false,true,true,false,false,false,51.92312986676165,4.121633621614618,Silver vakantie huisje,4,30,50,50,22,nightly,5,Geheel chalet,Gehele woning/appartement,entire_home,Geheel chalet,0,30604447
1,0,1,Rotterdam,EUR,22679462,false,true,true,false,false,false,51.915134,4.466279,Victoria Lofts - Spacious Loft (2p) in the center,2,11,53,53,1,nightly,13,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,166745110
1.5,1,1,Leiden,EUR,25203356,false,true,true,false,false,true,52.156861917443365,4.519442440825684,House on Island with Canal view,2,15,55,55,2,nightly,3,Privékamer in woning,Privékamer,private_room,Privékamer,0,137460008
1,1,3,Leidschendam,EUR,25785672,false,true,true,false,false,false,52.08856422003488,4.484730309516002,Yurt in de polder,3,17,60,60,15,nightly,3,Privékamer in joert,Privékamer,private_room,Privékamer,0,22353597
1,1,3,'s-Gravenzande,EUR,17107575,false,true,false,false,false,false,51.99726650755971,4.1811107842702935,"B&B Matai-2 in 's-Gravenzande, Westland",3,7,55,55,2,nightly,29,Privékamer in woning,Privékamer,private_room,Privékamer,0,114864913
1,1,3,Gouda,EUR,889966,false,true,false,false,false,false,52.011898,4.704241,B&B kamer in historisch Gouda 2,3,17,51,51,3,nightly,26,Privékamer in bed & breakfast,Privékamer,private_room,Privékamer,0,4722760
1,1,5,Rotterdam,EUR,15787836,false,true,true,false,false,true,51.93671239618788,4.469279890235132,Urban oasis. Lovely space at special place.,5,24,65,65,35,nightly,114,Geheel loft,Gehele woning/appartement,entire_home,Geheel loft,0,81520457
1,1,2,Rotterdam,EUR,2097520,false,true,true,false,false,true,51.918201587085754,4.451940048375428,Casa La Rosa – B&B / Shortstay,2,9,65,65,1,nightly,161,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,10698794
1,1,1,Rotterdam,EUR,11108069,false,true,true,false,false,true,51.920156936846,4.463791755677892,Large bedroom Lets be surprized,2,20,65,65,36,nightly,163,Privékamer in stadswoning,Privékamer,private_room,Privékamer,0,24851404
1,1,2,Rotterdam,EUR,13706363,false,true,true,false,false,true,51.91339112213979,4.481823817604089,MyPlace - Apartment in Central Rotterdam,4,27,70,70,1,nightly,147,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,79996117
