gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
GM0599;0599;Rotterdam;Rotterdam;Gemeente;GM0599;.;638712;314766;323946;103422;85677;194084;158382;97147;361032;188075;62397;27208;80742;244109;44164;24693;52620;47712;74920;.;.;.;.;321691;154323;72243;95125;2,0;2936;311336;.;25;75;.;.;.;.;.;.;.;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;221880;184740;37140;0,7;1020;12500;.;.;.;.;.;32416;21757;10659;.;.;1;3941
WK059901;059901;Rotterdam Centrum;Rotterdam;Wijk;WK059901;1;34685;17965;16720;3240;5720;14365;7040;4330;23490;7340;2990;875;6225;13010;2105;1210;2585;1650;5460;.;.;.;.;20860;12710;5000;3160;1,6;8392;19011;.;1;99;.;.;.;.;.;.;.;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;13075;9970;3105;0,6;3163;650;.;.;.;.;.;488;413;75;.;.;1;6127
BU05990110;05990110;Stadsdriehoek;Rotterdam;Buurt;BU05990110;1;16045;8415;7625;1315;2440;7400;3070;1820;11140;3330;1225;355;3185;4610;455;555;910;435;2255;.;.;.;.;9845;6065;2625;1160;1,5;11811;9166;.;0;100;.;.;.;.;.;.;.;74;26;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5840;4115;1725;0,6;4299;380;.;.;.;.;.;173;136;37;3011;1;1;6314
BU05990111;05990111;Oude Westen;Rotterdam;Buurt;BU05990111;1;9380;4730;4650;1260;1435;2975;2330;1385;5865;2160;1085;280;1170;5410;1300;260;1125;955;1770;.;.;.;.;5025;2780;940;1315;1,8;16565;4579;.;3;97;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2325;1785;540;0,5;4103;110;.;.;.;.;.;57;57;0;3014;2;1;6295
BU05990112;05990112;Cool;Rotterdam;Buurt;BU05990112;1;5870;2995;2875;455;1015;2665;1005;725;4135;1065;505;170;1190;2120;325;190;410;215;970;.;.;.;.;3690;2385;825;485;1,5;9622;3366;.;1;99;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1630;1215;420;0,4;2673;90;.;.;.;.;.;61;61;0;3012;1;1;6198
BU05990113;05990113;Cs Kwartier;Rotterdam;Buurt;BU05990113;1;975;545;430;70;155;455;190;100;650;245;65;20;230;340;5;40;45;15;230;.;.;.;.;625;380;170;80;1,6;2394;562;.;0;100;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;395;275;120;0,6;964;20;.;.;.;.;.;41;41;0;3013;1;1;6934
BU05990118;05990118;Nieuwe Werk;Rotterdam;Buurt;BU05990118;1;1720;935;780;100;455;530;380;255;1120;460;95;50;350;260;15;60;45;15;120;.;.;.;.;1145;720;345;90;1,5;2494;906;.;4;96;.;.;.;.;.;.;.;78;22;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;935;675;260;0,8;1353;35;.;.;.;.;.;104;69;35;3016;1;1;3420
BU05990119;05990119;Dijkzigt;Rotterdam;Buurt;BU05990119;1;690;340;350;35;215;340;60;40;590;80;20;10;95;265;0;95;40;10;110;.;.;.;.;520;395;105;30;1,3;1385;432;.;3;97;.;.;.;.;.;.;.;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1955;1910;45;.;.;15;.;.;.;.;.;52;50;2;3015;1;1;5269
WK059903;059903;Delfshaven;Rotterdam;Wijk;WK059903;1;75605;38480;37120;12480;12035;26220;17610;7260;48050;18445;7420;1695;10290;42125;9805;2545;7375;9740;12655;.;.;.;.;38470;19645;7560;11275;1,9;14666;34895;.;4;96;.;.;.;.;.;.;.;90;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19215;15630;3590;0,5;3728;905;.;.;.;.;.;596;516;81;.;.;1;5500
BU05990320;05990320;Delfshaven;Rotterdam;Buurt;BU05990320;1;6915;3590;3325;855;1330;2800;1385;545;5055;1050;700;115;965;3240;515;540;650;430;1100;.;.;.;.;3895;2255;850;800;1,7;16152;3438;.;2;98;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1595;1370;225;0,4;3724;120;.;.;.;.;.;55;43;12;3024;1;1;4828
BU05990321;05990321;Bospolder;Rotterdam;Buurt;BU05990321;1;7055;3595;3460;1290;1140;2055;1830;740;4225;1960;685;185;755;4870;1295;185;750;1400;1235;.;.;.;.;3330;1575;565;1200;2,1;20687;3209;.;8;92;.;.;.;.;.;.;.;86;14;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1575;1295;280;0,5;4614;70;.;.;.;.;.;34;34;0;3025;1;1;5360
BU05990322;05990322;Tussendijken;Rotterdam;Buurt;BU05990322;1;7110;3575;3535;1220;1065;2330;1660;840;4315;1770;800;235;940;4640;1280;220;715;1205;1215;.;.;.;.;3605;1880;645;1085;2,0;19307;3426;.;1;99;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1655;1280;370;0,5;4486;45;.;.;.;.;.;40;37;3;3026;1;1;6228
BU05990323;05990323;Spangen;Rotterdam;Buurt;BU05990323;1;10190;5120;5070;2075;1680;3280;2365;790;6105;2910;985;195;980;7300;1920;320;1145;2010;1905;.;.;.;.;4470;1885;785;1810;2,3;16923;4117;.;4;96;.;.;.;.;.;.;.;87;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2580;2045;535;0,6;4285;95;.;.;.;.;.;65;60;5;3027;1;1;4664
BU05990324;05990324;Nieuwe Westen;Rotterdam;Buurt;BU05990324;1;19460;9870;9585;3310;3325;6490;4520;1815;12585;4750;1740;390;2395;10745;2805;545;1790;2525;3080;.;.;.;.;9675;4845;1870;2965;2,0;15714;8457;.;3;97;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4785;3830;955;0,5;3865;225;.;.;.;.;.;124;124;0;3022;5;1;6618
BU05990325;05990325;Middelland;Rotterdam;Buurt;BU05990325;1;11915;6045;5870;1590;2015;4565;2745;995;8140;2540;1020;220;1900;5025;815;290;990;1005;1920;.;.;.;.;6600;3805;1320;1480;1,8;17506;5608;.;6;94;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2940;2420;520;0,4;4323;160;.;.;.;.;.;68;68;0;3021;1;1;6786
BU05990327;05990327;Oud Mathenesse;Rotterdam;Buurt;BU05990327;1;7085;3765;3320;1030;955;2775;1565;765;4445;1630;825;195;1700;3115;385;230;715;495;1285;.;.;.;.;4040;2245;845;960;1,8;8470;3808;.;1;99;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2150;1830;320;0,5;2568;95;.;.;.;.;.;84;84;0;3028;1;1;3590
BU05990328;05990328;Witte Dorp;Rotterdam;Buurt;BU05990328;1;585;275;310;105;75;145;180;85;295;225;50;25;40;335;95;10;55;105;70;.;.;.;.;245;85;45;120;2,4;13605;236;.;96;4;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;160;135;25;0,7;3742;5;.;.;.;.;.;4;4;0;3028;1;1;3637
BU05990329;05990329;Schiemond;Rotterdam;Buurt;BU05990329;1;5265;2625;2640;1000;455;1780;1355;680;2895;1620;615;150;605;2850;690;200;565;555;835;.;.;.;.;2595;1085;645;870;2,0;8559;2596;.;1;99;.;.;.;.;.;.;.;60;40;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1775;1420;355;0,7;2883;85;.;.;.;.;.;122;62;61;3029;6;1;3191
WK059904;059904;Overschie;Rotterdam;Wijk;WK059904;1;18350;9115;9230;3610;1670;5400;4620;3050;9470;6395;1605;885;1795;5160;1190;355;1220;950;1440;.;.;.;.;8360;3295;2025;3050;2,2;1229;8421;.;40;60;.;.;.;.;.;.;.;84;16;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7425;6155;1270;0,9;497;570;.;.;.;.;.;1580;1494;87;.;.;2;1672
BU05990451;05990451;Kleinpolder;Rotterdam;Buurt;BU05990451;1;7700;3765;3935;1390;780;2225;1825;1485;3940;2420;870;480;735;3445;905;215;730;735;860;.;.;.;.;3810;1845;765;1210;2,0;6179;3875;.;19;81;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2865;2300;565;0,8;2297;185;.;.;.;.;.;130;125;5;3042;1;2;1900
BU05990452;05990452;Noord Kethel;Rotterdam;Buurt;BU05990452;1;55;30;25;5;0;10;30;15;20;30;5;5;5;0;0;0;0;0;0;.;.;.;.;30;10;15;10;2,0;25;25;.;92;8;.;.;.;.;.;.;.;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;50;45;10;.;.;10;.;.;.;.;.;253;235;18;3047;3;5;94
BU05990454;05990454;Schieveen;Rotterdam;Buurt;BU05990454;1;345;165;180;55;20;75;105;90;150;155;15;25;20;15;0;0;5;0;10;.;.;.;.;135;40;55;50;2,3;83;138;.;100;0;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;205;165;40;1,5;49;25;.;.;.;.;.;428;417;12;3046;1;5;55
BU05990455;05990455;Zestienhoven;Rotterdam;Buurt;BU05990455;1;2990;1500;1490;970;140;1105;525;255;1720;1060;125;95;295;500;55;35;140;75;195;.;.;.;.;970;155;225;600;3,0;534;947;.;87;13;.;.;.;.;.;.;.;28;72;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1150;910;240;1,2;205;95;.;.;.;.;.;591;561;30;3045;1;4;789
BU05990456;05990456;Overschie;Rotterdam;Buurt;BU05990456;1;6865;3450;3410;1145;690;1900;2005;1120;3455;2590;560;260;715;1180;230;105;340;135;370;.;.;.;.;3210;1160;925;1130;2,1;4603;3238;.;45;55;.;.;.;.;.;.;.;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3025;2615;410;0,9;2028;235;.;.;.;.;.;171;149;22;3043;1;2;1817
BU05990457;05990457;Landzicht;Rotterdam;Buurt;BU05990457;1;380;200;175;45;35;80;130;90;185;140;35;25;20;10;0;0;5;0;5;.;.;.;.;200;90;55;60;1,9;5157;198;.;100;0;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;130;125;5;0,6;1728;15;.;.;.;.;.;7;7;0;3043;1;4;922
WK059905;059905;Noord;Rotterdam;Wijk;WK059905;1;51845;25540;26300;7005;7275;21035;11010;5520;34755;11355;4390;1350;6950;19410;4880;1450;3585;4015;5475;.;.;.;.;29190;16205;6440;6555;1,8;10127;27230;.;3;97;.;.;.;.;.;.;.;97;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14505;12375;2130;0,5;2834;1015;.;.;.;.;.;535;512;23;.;.;1;6586
BU05990515;05990515;Agniesebuurt;Rotterdam;Buurt;BU05990515;1;4175;2090;2085;540;695;1540;910;490;2800;845;450;85;490;2270;585;230;455;470;530;.;.;.;.;2265;1245;465;560;1,8;11289;2103;.;3;97;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1040;880;155;0,5;2806;50;.;.;.;.;.;38;37;1;3032;1;1;8210
BU05990516;05990516;Provenierswijk;Rotterdam;Buurt;BU05990516;1;4605;2285;2320;575;735;1915;940;445;3215;950;340;105;680;1925;355;250;330;420;565;.;.;.;.;2680;1575;550;565;1,7;15619;2468;.;3;97;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1160;995;165;0,4;3931;90;.;.;.;.;.;30;30;0;3033;1;1;7156
BU05990531;05990531;Bergpolder;Rotterdam;Buurt;BU05990531;1;8005;3885;4115;730;1265;4215;1250;555;6170;1145;570;125;1245;2105;365;190;430;300;815;.;.;.;.;5130;3190;1230;720;1,6;18100;4826;.;0;100;.;.;.;.;.;.;.;99;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2305;2040;265;0,4;5211;180;.;.;.;.;.;45;44;1;3038;1;1;5890
BU05990532;05990532;Blijdorp;Rotterdam;Buurt;BU05990532;1;10220;4995;5225;1245;1130;4495;2110;1245;6830;2270;780;345;1570;1440;115;125;300;100;795;.;.;.;.;6005;3310;1555;1145;1,7;6240;5590;.;1;99;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3380;2955;425;0,6;2064;255;.;.;.;.;.;169;164;6;3039;1;1;5133
BU05990534;05990534;Liskwartier;Rotterdam;Buurt;BU05990534;1;7590;3665;3925;1195;940;2775;1735;950;4835;1890;610;260;895;2590;715;145;530;565;630;.;.;.;.;4010;2070;870;1075;1,9;13797;3732;.;7;93;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2240;1885;355;0,6;4072;160;.;.;.;.;.;57;55;2;3037;1;1;6607
BU05990535;05990535;Oude Noorden;Rotterdam;Buurt;BU05990535;1;17115;8510;8605;2715;2500;6045;4025;1835;10830;4240;1620;430;2055;9020;2735;490;1530;2140;2125;.;.;.;.;9070;4820;1765;2495;1,9;16949;8510;.;5;95;.;.;.;.;.;.;.;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4345;3585;760;0,5;4301;270;.;.;.;.;.;106;101;5;3036;6;1;7334
BU05990558;05990558;Blijdorpsepolder;Rotterdam;Buurt;BU05990558;1;120;100;20;5;15;50;45;5;80;20;25;5;5;55;15;20;5;5;5;.;.;.;.;15;5;10;10;2,2;150;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;40;30;5;.;.;10;.;.;.;.;.;89;81;7;3041;1;2;2073
WK059906;059906;Hillegersberg-Schiebroek;Rotterdam;Wijk;WK059906;1;44110;20995;23115;8730;4515;10850;11845;8170;23120;14805;3810;2385;5235;7920;1650;765;1545;915;3040;.;.;.;.;20440;8610;4760;7075;2,1;3780;20703;.;41;59;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17530;15015;2510;0,9;1502;950;.;.;.;.;.;1328;1167;161;.;.;2;2301
BU05990660;05990660;Schiebroek;Rotterdam;Buurt;BU05990660;1;16660;7810;8850;3495;1725;4335;4190;2915;9140;4975;1645;905;1575;4815;1230;515;835;605;1630;.;.;.;.;7910;3635;1495;2790;2,1;3441;8011;.;34;66;.;.;.;.;.;.;.;92;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5565;4810;755;0,7;1149;305;.;.;.;.;.;493;484;8;3053;4;1;2507
BU05990661;05990661;Hillegersberg Zuid;Rotterdam;Buurt;BU05990661;1;8020;3925;4095;1450;935;2695;2030;910;4875;2410;565;175;1080;835;80;65;175;95;415;.;.;.;.;3930;1690;1035;1215;2,0;6716;3813;.;26;74;.;.;.;.;.;.;.;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3150;2710;440;0,8;2635;240;.;.;.;.;.;127;119;8;3051;1;1;3120
BU05990662;05990662;Hillegersberg Noord;Rotterdam;Buurt;BU05990662;1;7845;3660;4185;1175;750;1570;2190;2160;3535;2865;795;655;1005;1205;245;100;280;120;460;.;.;.;.;3955;1860;1050;1050;1,9;4276;4136;.;29;71;.;.;.;.;.;.;.;70;30;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3515;2995;525;0,9;1916;130;.;.;.;.;.;306;184;123;3054;1;2;2085
BU05990664;05990664;Terbregge;Rotterdam;Buurt;BU05990664;1;3470;1720;1750;725;425;720;1240;360;1820;1355;235;70;390;525;70;25;180;60;185;.;.;.;.;1325;280;355;700;2,6;1949;1304;.;89;11;.;.;.;.;.;.;.;33;67;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1550;1310;235;1,2;869;130;.;.;.;.;.;188;178;10;3056;1;4;877
BU05990665;05990665;Molenlaankwartier;Rotterdam;Buurt;BU05990665;1;8105;3875;4225;1885;670;1530;2190;1825;3755;3205;575;575;1175;535;25;55;75;30;340;.;.;.;.;3310;1155;830;1330;2,4;4025;3439;.;69;31;.;.;.;.;.;.;.;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3750;3190;560;1,1;1861;140;.;.;.;.;.;214;201;12;3055;1;2;1703
WK059908;059908;Kralingen-Crooswijk;Rotterdam;Wijk;WK059908;1;53870;26125;27745;7240;10915;17065;11240;7410;34845;12395;4770;1865;8650;20165;5325;1195;3590;3130;6920;.;.;.;.;30955;18175;6330;6455;1,7;5167;27900;.;8;92;.;.;.;.;.;.;.;92;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16050;13405;2650;0,5;1539;750;.;.;.;.;.;1277;1043;234;.;.;1;5247
BU05990814;05990814;Rubroek;Rotterdam;Buurt;BU05990814;1;8335;3940;4390;1050;1475;2930;1670;1210;5430;1735;815;360;1195;3455;985;200;655;490;1125;.;.;.;.;4780;2760;1000;1030;1,7;15888;4585;.;0;100;.;.;.;.;.;.;.;93;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2105;1830;275;0,4;4012;130;.;.;.;.;.;54;52;2;3031;1;1;7743
BU05990836;05990836;Nieuw Crooswijk;Rotterdam;Buurt;BU05990836;1;3160;1645;1510;600;405;1280;600;280;2055;770;280;65;355;1315;530;65;195;185;335;.;.;.;.;1630;805;375;460;1,9;3063;1600;.;5;95;.;.;.;.;.;.;.;70;30;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;950;775;175;0,6;922;65;.;.;.;.;.;110;103;7;3034;1;1;4831
BU05990837;05990837;Oud Crooswijk;Rotterdam;Buurt;BU05990837;1;8265;3970;4295;1470;1185;2435;2010;1165;4820;2125;960;365;765;4930;1730;255;760;1090;1095;.;.;.;.;4135;2125;705;1315;2,0;16925;4088;.;4;96;.;.;.;.;.;.;.;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2010;1655;360;0,5;4120;85;.;.;.;.;.;53;49;4;3034;1;1;6498
BU05990841;05990841;Kralingen West;Rotterdam;Buurt;BU05990841;1;15880;7645;8230;2235;3085;5285;3330;1940;10505;3480;1425;475;2245;6275;1660;305;1295;1020;1990;.;.;.;.;8965;5155;1830;1990;1,8;15526;8077;.;7;93;.;.;.;.;.;.;.;93;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4355;3715;640;0,5;4258;185;.;.;.;.;.;102;102;0;3061;1;1;5684
BU05990842;05990842;Kralingen Oost;Rotterdam;Buurt;BU05990842;1;8075;3910;4160;1190;2085;1940;1645;1220;5170;2225;415;270;1755;1145;80;75;145;70;770;.;.;.;.;4490;2630;965;900;1,8;3998;3804;.;31;69;.;.;.;.;.;.;.;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2905;2360;540;0,6;1437;110;.;.;.;.;.;205;202;3;3062;1;1;3169
BU05990843;05990843;Kralingse Bos;Rotterdam;Buurt;BU05990843;1;105;50;50;10;20;20;35;20;60;35;5;5;5;0;0;0;0;0;0;.;.;.;.;45;20;15;20;2,2;32;25;.;84;16;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;65;45;20;.;.;15;.;.;.;.;.;447;326;121;3062;1;2;1601
BU05990845;05990845;De Esch;Rotterdam;Buurt;BU05990845;1;4490;2165;2325;435;705;1410;1125;820;2705;1075;550;165;575;1705;195;195;385;200;730;.;.;.;.;2740;1600;655;495;1,6;2658;2588;.;3;97;.;.;.;.;.;.;.;99;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1875;1600;280;0,7;1110;80;.;.;.;.;.;243;169;74;3063;1;2;1886
BU05990847;05990847;Struisenburg;Rotterdam;Buurt;BU05990847;1;5555;2785;2770;250;1960;1770;820;755;4110;960;325;165;1755;1330;140;100;150;70;865;.;.;.;.;4150;3095;805;255;1,3;14339;3133;.;0;100;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1785;1420;365;0,4;4605;80;.;.;.;.;.;62;39;23;3063;1;1;4745
WK059910;059910;Feijenoord;Rotterdam;Wijk;WK059910;1;75025;37180;37845;13515;10085;22940;18935;9550;42460;21805;8115;2650;8100;43385;8530;3790;7325;13280;10455;.;.;.;.;36210;16620;7385;12210;2,1;11331;35038;.;24;76;.;.;.;.;.;.;.;84;16;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21220;17330;3890;0,6;3205;960;.;.;.;.;.;855;662;193;.;.;1;4705
BU05991017;05991017;Kop van Zuid;Rotterdam;Buurt;BU05991017;1;2700;1395;1300;210;360;1475;490;165;1850;675;155;25;500;950;65;160;115;105;500;.;.;.;.;1715;1010;515;205;1,6;10069;1862;.;0;100;.;.;.;.;.;.;.;10;90;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1265;880;385;0,7;4710;80;.;.;.;.;.;64;27;37;3072;2;1;4038
