gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
BU05991578;05991578;Zuiderpark;Rotterdam;Buurt;BU05991578;3;1280;585;695;85;90;205;270;630;520;305;155;310;100;250;15;60;70;30;75;.;.;.;.;500;330;125;55;1,5;442;513;.;11;89;.;.;.;.;.;.;.;50;50;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;250;225;25;0,5;87;10;.;.;.;.;.;317;290;27;3084;1;1;2979
BU05991593;05991593;Heijplaat;Rotterdam;Buurt;BU05991593;1;1395;710;685;215;185;335;440;220;710;465;145;80;175;325;35;115;45;55;75;.;.;.;.;695;295;160;250;2,0;3579;700;.;65;35;.;.;.;.;.;.;.;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;580;500;80;0,8;1480;55;.;.;.;.;.;39;39;0;3089;1;5;270
WK059916;059916;Hoogvliet;Rotterdam;Wijk;WK059916;1;34615;16785;17825;5430;3940;8415;10000;6835;15835;13245;3335;2210;3480;9530;555;2040;3095;1060;2775;.;.;.;.;16030;6120;4320;5600;2,1;3695;16065;.;58;42;.;.;.;.;.;.;.;81;19;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14250;12575;1680;0,9;1521;985;.;.;.;.;.;1036;937;99;.;.;2;2035
BU05991692;05991692;Hoogvliet Noord;Rotterdam;Buurt;BU05991692;3;12635;6285;6345;2135;1560;3360;3815;1760;6245;4555;1235;605;1350;4705;315;905;1645;655;1185;.;.;.;.;5650;2090;1340;2225;2,2;2749;5601;.;62;38;.;.;.;.;.;.;.;80;20;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5440;4630;810;1,0;1183;425;.;.;.;.;.;494;460;35;3194;6;2;1661
BU05991699;05991699;Hoogvliet Zuid;Rotterdam;Buurt;BU05991699;3;21980;10500;11480;3290;2380;5050;6185;5075;9590;8690;2100;1605;2130;4825;240;1135;1450;405;1585;.;.;.;.;10375;4030;2980;3375;2,1;4608;10464;.;56;44;.;.;.;.;.;.;.;81;19;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8815;7945;870;0,8;1847;560;.;.;.;.;.;541;477;64;3192;5;2;2250
WK059917;059917;Hoek van Holland;Rotterdam;Wijk;WK059917;1;10285;5095;5185;1545;1040;2275;3035;2395;4340;4375;930;645;915;585;55;95;110;60;255;.;.;.;.;4770;1685;1515;1575;2,1;721;5651;.;74;26;.;.;.;.;.;.;.;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4945;4430;510;1,0;346;385;.;.;.;.;.;1863;1428;436;.;.;3;1014
BU05991701;05991701;Strand en Duin;Rotterdam;Buurt;BU05991701;1;2360;1210;1150;490;230;665;620;355;1120;1055;115;75;170;85;5;10;20;5;45;.;.;.;.;895;160;325;415;2,6;583;1756;.;93;7;.;.;.;.;.;.;.;67;33;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1265;1105;160;1,4;312;110;.;.;.;.;.;588;405;182;3151;1;4;676
BU05991702;05991702;Dorp;Rotterdam;Buurt;BU05991702;1;7860;3850;4010;1040;805;1590;2400;2030;3190;3295;810;570;740;495;50;85;90;55;210;.;.;.;.;3845;1515;1185;1150;2,0;2433;3864;.;65;35;.;.;.;.;.;.;.;93;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3615;3285;330;0,9;1118;270;.;.;.;.;.;380;323;57;3151;1;3;1191
BU05991703;05991703;Rijnpoort;Rotterdam;Buurt;BU05991703;1;60;35;25;15;5;15;15;15;30;25;10;5;5;0;0;0;0;0;0;.;.;.;.;25;15;10;10;2,3;9;31;.;84;16;.;.;.;.;.;.;.;90;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;65;45;20;.;.;5;.;.;.;.;.;896;699;197;3151;1;5;62
WK059918;059918;Spaanse Polder;Rotterdam;Wijk;WK059918;1;105;55;50;10;5;35;35;20;50;40;15;5;15;10;0;0;5;0;5;.;.;.;.;55;30;15;15;1,9;59;32;.;50;50;.;.;.;.;.;.;.;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1365;630;735;.;.;50;.;.;.;.;.;204;184;20;.;.;3;1478
